_id,basic_element,recipe_title,calories,date_added,recipe_category,dif_rate,exec_time (min),special_d,_elements,exec,photo
1,Chicken ,Grilled chicken with charred pineapple salad,290,14/5/2021,Lunch,3,30,Gluten-free,"1 teaspoon dried oregano|olive oil|2 x 150 g free-range chicken breasts|150 g quinoa|50 g white cabbage|1 large handful of salad leaves|¼ of a pineapple|50 g natural yoghurt|1 fresh red chilli|DRESSING|½ an avocado|½ a bunch of fresh coriander , (15g)|2 tablespoons pickled jalapeños|2 limes","Combine the oregano in a bowl with 1 to 2 tablespoons of oil, then season with sea salt and black pepper.|Use a sharp knife to slice into the chicken breasts, then open each one out flat like a book to butterfly. Place in the bowl with the herby oil, turning until well coated, then leave to one side.|Cook the quinoa according to the packet instructions, then drain and set aside.|For the dressing, peel and destone the avocado half, then scoop the flesh into a blender. Add half the coriander (stalks and all) and the jalapeños, along with a splash of the pickling liquid and the juice of 1½ limes. Blitz until smooth, adding a splash of oil, if needed. Stir through the quinoa.|Finely shred the cabbage, pick the remaining coriander leaves, then toss with the salad leaves.
Place a griddle pan over a high heat. Peel the pineapple, remove and discard any core, then chop into 4.| Place on the hot griddle pan for a few minutes on each side, or until charred, and transfer to a chopping board.|In the same pan, griddle the chicken for 5 minutes on each side, or until charred and cooked through, then remove from the pan and leave to rest on the board for a few minutes.|Chop the griddled pineapple into bite-sized chunks, then slice the chicken into thin strips. Deseed and finely chop the chilli.|Divide the yoghurt between four plates, then top with the chicken, adding the pineapple on one side and the dressed quinoa on the other. Toss the leaves and cabbage with the juice of the remaining lime half and a little salt and pepper, plus the chopped chilli. Divide between the plates, then serve.",
2,Chicken ,Thai green chicken curry,285,14/5/2021,Lunch,3,50,Dairy-free,750 g skinless free-range chicken thighs|groundnut oil|400 g mixed oriental mushrooms|1 x 400g tin of light coconut milk|1 organic chicken stock cube|6 kaffir lime leaves|200 g mangetout|½ a bunch fresh Thai basil|2 limes|CURRY PASTE|4 cloves of garlic|2 shallots|5cm piece of ginger|2 lemongrass stalks|4 green Bird's eye chillies|1 teaspoon ground cumin|½ a bunch of fresh coriander|2 tablespoons fish sauce,"To make the curry paste, peel, roughly chop and place the garlic, shallots and ginger into a food processor.|Trim the lemongrass, remove the tough outer leaves, then finely chop and add to the processor. Trim and add the chillies along with the cumin and half the coriander (stalks and all). Blitz until finely chopped, add the fish sauce and blitz again.|Slice the chicken into 2.5cm strips. Heat 1 tablespoon of oil in a large pan on a medium heat, add the chicken and fry for 5 to 7 minutes, or until just turning golden, then transfer to a plate.|Tear the mushrooms into even pieces. Return the pan to a medium heat, add the mushrooms and fry for 4 to 5 minutes, or until golden. Transfer to a plate using a slotted spoon.|Reduce the heat to medium-low and add the Thai green paste for 4 to 5 minutes, stirring occasionally.|Pour in the coconut milk and 200ml of boiling water, crumble in the stock cube and add the lime leaves. Turn the heat up and bring gently to the boil, then simmer for 10 minutes, or until reduced slightly.|Stir in the chicken and mushrooms, reduce the heat to low and cook for a further 5 minutes, or until the chicken is cooked through, adding the mangetout for the final 2 minutes.|Season carefully to taste with sea salt and freshly ground black pepper. Pick, roughly chop and stir through the basil leaves and remaining coriander leaves. Serve with lime wedges and steamed rice.",
3,Chicken ,Crispy garlicky chicken,366,14/5/2021,Lunch,3,20,Dairy-free,"2 x 120 g free-range skinless chicken breasts|2 thick slices of seeded wholemeal bread , (75g each)|1 clove of garlic|1 lemon|50 g rocket","Place the chicken breasts between two large sheets of greaseproof paper, and whack with the base of a large non-stick frying pan to flatten them to about 1cm thick.|Tear the bread into a food processor, then peel, chop and add the garlic, and blitz into fairly fine crumbs.|Pour the crumbs over the chicken, roughly pat on to each side, then re-cover with the paper and whack again, to hammer the crumbs into the chicken and flatten them further.|Put the pan on a medium heat. Fry the crumbed chicken in 1 tablespoon of olive oil for 3 minutes on each side, or until crisp, golden and cooked through.|Slice, plate up, season to perfection with sea salt and black pepper, sprinkle with lemon-dressed rocket, and serve with lemon wedges, for squeezing over.",
4,Chicken ,Chicken in milk,443,14/5/2021,Lunch,3,100,Gluten-free,"1 x 1.8 kg whole free-range chicken|1 teaspoon fennel seeds|200 g unsalted butter|1 bulb of garlic|2 onions|2 bulbs of fennel|1 lemon|1 large bunch of fresh sage (30g) , mixed-colour, if possible|1- inch stick of cinnamon|1–1.5 litres whole milk","First up, if you’re jointing the chicken yourself, break the knuckles and chop them off with a sharp knife, through the joint.|Pull out the wings and cut them off at the base, cutting slightly into the breast so you get a generous meaty portion. Lightly cut through the skin between the chicken leg and breast, so that the leg falls to the side.|Bend the leg backwards to disjoint it, and turn breast-side down. Cut between the leg and breast, removing the whole leg, then repeat.|Find the joint in between the drumstick and thigh, tap the heel of the knife and cut through the bone, separating the drumstick and thigh, then repeat.|Leaving the breasts on the bone, carefully cut between the breasts and backbone to separate the front and back of the bird.|Slice between the breasts on the bone to separate, then use the heel of the knife to cut across each breast through the bone, leaving you with two large chunks, then slice each chunk into four pieces. Season the chicken with sea salt, black pepper and 1 teaspoon of fennel seeds. Pop the carcass in a bag and put in the freezer for tasty cooking another day – it makes an amazing stock.|Put a large non-stick pan on a medium-high heat with 50g of butter. Add the chicken wings, legs and thighs skin-side down to brown in the pan for around 3½ minutes, or until golden all over, turning occasionally. Once the butter is dark brown and almost burnt, transfer the chicken to a plate and throw away the oil and butter left in the pan. This will leave you with tasty sticky goodness at the bottom of the pan, which will give you a lovely caramelly flavour later on.|Return your chicken to the pan with another 50g of butter, and repeat the process, turning the chicken for another 3½ minutes, or until the butter is dark brown, then throwing away the almost burnt butter.|Go in with the breast meat and another 50g of butter, and return the browned meat to the pan for a final time along with the bulb of garlic, turning the meat occasionally to get an even golden colour.|Meanwhile, peel, quarter and add the onion. Finely slice the fennel stalks, stopping when you hit the bulb, finely slice the leafy tops, and cut the bulb into quarters, adding to the pan as you go.|Scrape up any sticky bits from the bottom of the pan, then make a well in the middle and add the final 50g of butter.|Use a speed-peeler to peel big chunks of lemon zest into the butter, pick in a large handful of sage leaves and add the cinnamon stick. Fry for a couple of minutes, or until the veg is softened, stirring occasionally.|Pour in around 1 litre of milk (half of the chicken should be submerged) and scrape up all the lovely sticky bits. Squeeze in the lemon juice. The lemon zest will sort of split the milk, making a sauce which is absolutely fantastic. Reduce the heat, cover with a cartouche (greaseproof-paper disc) and simmer for 50 minutes, removing for the final 20 minutes. Taste and check the seasoning and remove the cinnamon stick.|To serve, pull the meat off the bones and divide between plates. Spoon over plenty of juice and the little curds. Delicious served with Parmesan polenta and lemony greens.",
5,Chicken ,Korean-style roast chicken,810,14/5/2021,Lunch,3,105,Dairy-free,"3 tablespoons of sesame seeds|250 g kimchi|2 tablespoons gochujang paste|2 tablespoons low-salt soy sauce|2 tablespoons rice vinegar|1.4 kg whole free-range chicken|2 tablespoons runny honey|BUNS|sesame oil|1 x 400 g tin of light coconut milk|2 coconut milk tins’ worth of self-raising flour , (500g), plus extra for dusting|SLAW|2 carrots|4 spring onions|2 fresh red chillies|1 bok choi|½ a Chinese cabbage|2 limes|1 teaspoon sesame oil|½ a teaspoon gochugaru , (Korean red pepper powder)","Preheat the oven to 180°C/350°F/gas 4.|Toast the sesame seeds in a dry frying pan for 3 to 5 minutes, or until golden and nutty.|Put the kimchi, gochujang, soy sauce, rice vinegar and 2 tablespoons of the sesame seeds into a blender, and whiz until smooth.|Place the chicken in a snug-fitting baking tray. Pour one third of the marinade over the chicken and rub it in to all the nooks and crannies. Roast for 1 hour 20 minutes, or until everything is gnarly and cooked through.|Add the honey to the remaining marinade and blitz until combined. Pour half into a small bowl and set aside – this will be your dipping sauce. Keep the rest of the sauce for your glaze.|For the buns, cut out 12 x 8cm squares of greaseproof paper and rub each one with a little sesame oil to stop the buns sticking. Pour the coconut milk into a large mixing bowl, then add the flour and a good pinch of sea salt. Start mixing with a fork then get in there with your hands and knead until you have a soft, smooth dough – or do all this in a food processor.|Tip the dough onto a flour-dusted work surface and roll into a sausage shape. Quarter it, then cut each piece into three to make 12 even-sized pieces and roll each into a ball. One-by-one, with a rolling pin, roll the balls into 10cm x 12cm ovals. Lay an oiled chopstick across the middle like a hinge, fold the dough in half and pull the chopstick out. Place each bun on a little rectangle of greaseproof paper ready for steaming.|Remove the chicken from the oven and turn it off. Spoon over the reserved glaze to create another sticky layer and sprinkle over the remaining sesame seeds. Transfer to a plate and return to the oven to keep warm and tighten up the glaze while you cook the buns.|Working in batches, place the buns on their greaseproof squares into a large bamboo steamer and pop the lid on. Place the steamer over a large frying pan or wok filled with 300ml of boiling water and steam for 8 to 10 minutes, or until fluffy and cooked through.|For the slaw, scrub the carrots, trim the spring onions and chillies (deseed if you like), bok choi and cabbage. Finely zest and juice the limes into a serving bowl, add a little sesame oil and a good pinch of gochugaru. Finely chop all the slaw ingredients, drop them into the dressing bowl and toss with your hands to dress.|Shred the chicken and serve with the coconut buns, slaw and remaining sauce.",
6,Pasta,Spaghetti carbonara,860,14/5/2021,Lunch,1,10,,"3 large free-range egg yolks|40 g Parmesan cheese , plus extra to serve|1 x 150 g piece of higher-welfare pancetta|200 g dried spaghetti|1 clove of garlic|extra virgin olive oil","Put the egg yolks into a bowl, finely grate in the Parmesan, season with pepper, then mix well with a fork and put to one side.|Cut any hard skin off the pancetta and set aside, then chop the meat.|Cook the spaghetti in a large pan of boiling salted water until al dente.|Meanwhile, rub the pancetta skin, if you have any, all over the base of a medium frying pan (this will add fantastic flavour, or use 1 tablespoon of oil instead), then place over a medium-high heat.|Peel the garlic, then crush with the palm of your hand, add it to the pan and leave it to flavour the fat for 1 minute. Stir in the pancetta, then cook for 4 minutes, or until it starts to crisp up.|Pick out and discard the garlic from the pan, then, reserving some of the cooking water, drain and add the spaghetti. Toss well over the heat so it really soaks up all that lovely flavour, then remove the pan from the heat.|Add a splash of the cooking water and toss well, season with pepper, then pour in the egg mixture – the pan will help to cook the egg gently, rather than scrambling it. Toss well, adding more cooking water until it’s lovely and glossy.|Serve with a grating of Parmesan and an extra twist of pepper.",
7,Pasta,Creamy prawn linguine,514,14/5/2021,Lunch,3,15,,"150 g dried linguine|2 cloves of garlic|160 g raw peeled king prawns , from sustainable sources|4 rashers of higher-welfare smoked pancetta|olive oil|50 ml Italian red wine|1 heaped tablespoon mascarpone cheese|50 g rocket|10 g Parmesan cheese","Cook the pasta in a pan of boiling salted water according to the packet instructions. Meanwhile, peel and finely slice the garlic. Run your knife down the back of 2 prawns, so they'll butterfly as they cook, then finely chop the rest.|Put a large non-stick frying pan on a medium heat. Finely slice the pancetta, sprinkle into the pan with 1 tablespoon of olive oil and fry until lightly golden. Toss in the garlic and whole prawns for 2 minutes, then go in with the wine and let it cook away. Toss through the chopped prawns and mascarpone for 1 minute, then use tongs to drag the pasta straight into the pan, letting a little starchy cooking water go with it. Roughly chop the rocket, add most of it to the pan and toss it all together over the heat until you have a silky sauce. Subtly season to perfection with the Parmesan and black pepper. Serve sprinkled with the remaining rocket and an extra grating of Parmesan, if you like.",
8,Pasta,Honeymoon spaghetti,476,14/5/2021,Lunch,3,10,,"1 x 1.5 kg crab or lobster|30 g unsalted butter|olive oil|2 cloves of garlic|1 fresh red chilli|450 g mussels|100 g squid|200 g raw shell-off tiger prawns or small prawns|450 g dried spaghetti|1 bunch of flat-leaf parsley , (30g)|1 bunch of marjoram , (30g)|1 large free-range egg|SAUCE|3 cloves of garlic|1 fresh red chilli|olive oil|2 x 400 g tins of quality plum tomatoes","Preheat the oven to 180°C/350°F/gas 4. Plunge the crab or lobster into boiling water and boil for 15 minutes, then remove. Once cooled, remove all the meat from the shell, flaking it up into small pieces, and removing any splinters.|To make the sauce, pound up the shells using a rolling pin and finely chop the garlic and chilli. Drizzle 1 tablespoon of olive oil into a saucepan over a medium heat and fry the garlic and chilli with the empty shell and legs. Add the tomatoes, breaking them up with a wooden spoon, and a large glass of water and simmer for 1 hour. Pass through a sieve, discarding the shells and season to perfection with sea salt and black pepper.|Cook the spaghetti in boiling salted water according to the packet instructions until al dente then drain.|Melt the butter and 1 tablespoon of oil in a large pan over a medium heat. Finely slice the garlic and chilli, then add them to the pan and gently fry. Scrub and debeard the mussels and slice the squid. Turn up the heat, add the mussels prawns and cook for 2 minutes. Remove from the heat, discarding any unopened mussels.|Add the tomato sauce, cooked pasta and crab or lobster meat. Pick the parsley and marjoram leaves and finely chop, then add them to the pan and mix everything together.|Fold a 60cm x 120cm piece of greaseproof in half to get a crease and open it out again on a baking tray. Place the seafood mixture in the centre of one half. Beat the egg, then use it to brush all the edges. Bring the two sides together and seal well. Cook for 10 minutes, or until puffed up.",
9,Pasta,Broccoli & anchovy orecchiette,367,14/5/2021,Lunch,3,20,,"2 large heads of broccoli|2 large cloves of garlic|8 anchovy fillets , in oil, from sustainable sources|4 good knobs of butter|2-4 small dried red chillies , to taste|450 g dried orecchiette|Parmesan cheese","Using a small knife, trim round the broccoli to remove the dark green florets from the main stalks and put them to one side. Peel the stalks, trim off the dry end and throw this away. Peel and chop the garlic.|Finely chop the broccoli stalk and put into a large pan with the garlic, anchovies and half the butter. Crumble in the chilli, cover with a lid and cook slowly for 8 to 10 minutes while you cook the pasta in boiling salted water according to the packet instructions.|Something I like to do which is slightly different (but better, I’d like to think) is to cook the broccoli florets with the pasta for the last 4 minutes – this makes them soft enough to eat but leaves them with great colour and texture.|Drain the pasta and broccoli, saving a little of the cooking water, then toss into the other pan. Remove the pan from the heat.|Season to taste with sea salt, black pepper, the rest of the butter and finely grate in a large handful of Parmesan. Mix well, adding a little of the cooking water, to loosen, if needed, and make it shine.|Serve immediately, sprinkling with another good handful of finely grated Parmesan.",
10,Pasta,Asparagus linguine,407,14/5/2021,Lunch,3,15,Vegeterian,"300 g dried linguine|300 g mixed asparagus , (wild, white, regular)|4 cloves of garlic|2 dried red chillies|olive oil|1 knob of unsalted butter|30 g pecorino , or Parmesan cheese, plus extra to serve|1 lemon","Cook the pasta in a pan of boiling salted water according to the packet instructions.|Meanwhile, snap off and discard the woody ends of the asparagus, then finely slice the spears at an angle, leaving the tips whole.|Peel and finely slice the garlic, crumble up the dried chillies, and place both in a large frying pan on a medium heat with 2 tablespoons of oil and the butter. When the garlic starts to sizzle, stir in the asparagus. Let it start to fry, then add a spoonful of pasta water, cover, and leave to simmer on a low heat until the pasta is al dente.|Using tongs, drag the pasta straight into the asparagus pan, letting a little starchy cooking water go with it. Turn the heat off, then finely grate in the pecorino and toss together until the fat, cheese and liquid make a natural creamy sauce – loosen with a little extra cooking water, if needed.|Taste and season to perfection, then divide between your plates. Finish with a grating of pecorino and a little lemon zest, to taste.",
11,Fruit,"Mixed leaf salad with mozzarella, mint, peach & prosciutto",412,14/5/2021,Salad,2,10,,"ripe peach|buffalo mozzarella|higher-welfare prosciutto|fresh mint|mixed salad leaves|extra virgin olive oil|lemon|dried red chilli , optional","If I make this for my lunch I’ll use one nice, ripe peach, half a ball of mozzarella and a couple of slices of prosciutto.|Pinch the skin of the peaches and peel from the bottom to the top, then quarter.|Rip the mozzarella into small pieces and place on a plate with the peaches. Lightly season with sea salt and black pepper.|Lay a couple of slices of prosciutto over the top.|Tear up the mint leaves, toss with the mixed salad leaves and dress with a little of the extra virgin olive oil & lemon juice dressing.|Throw the leaves on top. Simple!",
12,Potato,"Smoked trout, horseradish & new potato salad",449,14/5/2021,Salad,2,20,,"800 g new potatoes|4 tablespoons crème fraîche , or soured cream|2 lemons|extra virgin olive oil|4 heaped tablespoons fresh horseradish , or jarred horseradish|1 bunch of fresh flat-leaf parsley , (30g)|½ a bunch of fresh chives|1 small bunch of spring onions|300 g hot-smoked trout , from sustainable sources","Scrub the potatoes and cook them in boiling salted water until tender, then drain.|While still warm, but cool enough to handle, either cut the potatoes in half or squash them into a large salad bowl.|Add the crème fraîche, the zest and juice of 1 lemon and 4 tablespoons of oil. Toss around, then season to taste with sea salt and black pepper.|Add or finely grate in the horseradish, tasting as you go, then finely chop the parsley and chives and throw these into the bowl.|Trim, finely slice and add the spring onions, tear in the smoked trout, and mix together.|Now it’s very important to balance your salad with more seasoning and maybe an extra squeeze of lemon juice. You may even want to give it more of a kick by adding some extra horseradish. Personally, I love to add a lot of horseradish and make it really hot.|Great served as a starter, salad or even dinner if you love it as much as I do.",
